uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,Churn,device
125733696,,,,,,,,,,,,,1,ar
125737832,13.0,40.84615384615385,12.0,44.166666666666664,12.0,44.166666666666664,12.0,44.166666666666664,12.0,44.166666666666664,1.0,47.0,1,ar
126041088,,,,,,,,,,,,,1,ar
126050240,805.0,213.75527950310558,373.0,219.5040214477212,213.0,243.4037558685446,109.0,240.69724770642202,,,,,1,ar
126055672,,,,,,,,,,,,,1,ar
126145584,85.0,149.88235294117646,,,,,,,,,,,1,ar
126186152,111.0,197.36936936936937,,,,,,,,,,,1,ar
126727952,253.0,110.41501976284584,80.0,122.325,,,,,,,,,1,ar
127058496,1.0,190.0,,,,,,,,,,,1,ar
127509312,1.0,364.0,1.0,364.0,,,,,,,,,1,ar
128029112,6.0,123.5,3.0,114.33333333333333,3.0,114.33333333333333,1.0,138.0,1.0,138.0,,,1,ar
128276808,102.0,142.42156862745097,86.0,139.67441860465115,50.0,133.5,20.0,105.05,19.0,109.6842105263158,19.0,109.6842105263158,0,ar
128430064,2.0,235.0,,,,,,,,,,,0,ar
128430928,1587.0,174.29489603024575,665.0,175.009022556391,227.0,158.68722466960352,4.0,180.0,,,,,0,ar
128491368,1.0,136.0,,,,,,,,,,,1,ar
129773024,,,,,,,,,,,,,1,ar
130090032,351.0,170.014245014245,265.0,166.10943396226415,263.0,166.51330798479088,61.0,180.80327868852459,27.0,188.92592592592592,23.0,186.2608695652174,0,ar
130385664,,,,,,,,,,,,,1,ar
130552728,134.0,145.0,12.0,168.41666666666666,,,,,,,,,0,ar
130838592,,,,,,,,,,,,,1,ar
130903776,,,,,,,,,,,,,1,ar
130933768,,,,,,,,,,,,,1,ar
130943040,,,,,,,,,,,,,1,ar
131739296,,,,,,,,,,,,,1,ar
132039504,,,,,,,,,,,,,1,ar
132158456,17.0,238.76470588235293,,,,,,,,,,,1,ar
132171856,,,,,,,,,,,,,1,ar
132184152,4.0,75.25,,,,,,,,,,,1,ar
132687728,,,,,,,,,,,,,1,ar
132984384,,,,,,,,,,,,,1,ar
133020496,,,,,,,,,,,,,1,ar
133268128,37.0,120.0,,,,,,,,,,,0,ar
133771080,222.0,88.71621621621621,,,,,,,,,,,1,ar
133928864,281.0,229.48398576512454,259.0,232.8803088803089,188.0,229.52659574468086,106.0,224.66981132075472,26.0,192.73076923076923,4.0,115.75,0,ar
