uid,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
164855664.0,2,2.0,1.0,1.0,1.0
165018016.0,2,2.0,1.0,1.0,1.0
165025856.0,12,8.0,1.0,1.0,1.0
165124144.0,3,3.0,3.0,3.0,3.0
165233520.0,24,22.0,19.0,15.0,14.0
165322784.0,3,,,,
165463776.0,1,1.0,1.0,1.0,1.0
165706320.0,7,7.0,7.0,7.0,7.0
165757168.0,1,,,,
165767712.0,3,3.0,3.0,3.0,1.0
165779296.0,31,30.0,30.0,,
165847840.0,21,,,,
165870544.0,1,1.0,1.0,1.0,
165953248.0,3,3.0,,,
166203168.0,1,1.0,1.0,1.0,1.0
166341648.0,3,3.0,,,
166351680.0,1,1.0,,,
166365088.0,60,35.0,33.0,31.0,31.0
166378704.0,21,21.0,21.0,16.0,9.0
166404688.0,1,,,,
166472064.0,31,2.0,,,
166494464.0,2,2.0,,,
166517216.0,1,,,,
166541072.0,1,1.0,1.0,1.0,1.0
166601152.0,48,44.0,44.0,43.0,43.0
166654368.0,4,,,,
166749696.0,2,2.0,2.0,,
166756496.0,6,6.0,6.0,6.0,5.0
166818704.0,1,1.0,1.0,1.0,1.0
166853904.0,20,,,,
166858432.0,6,5.0,3.0,1.0,
166879056.0,3,,,,
166965440.0,19,12.0,5.0,5.0,5.0
167022912.0,63,63.0,,,
167026560.0,2,2.0,1.0,,
167039904.0,1,,,,
167044992.0,11,6.0,6.0,6.0,5.0
167076576.0,1,1.0,,,
167111808.0,14,14.0,,,
167197712.0,6,4.0,,,
167214288.0,49,39.0,39.0,39.0,39.0
167262976.0,2,1.0,,,
167274032.0,20,6.0,,,
167274928.0,4,4.0,3.0,2.0,2.0
167310576.0,8,8.0,,,
167415584.0,3,2.0,,,
167432480.0,1,,,,
167438160.0,42,34.0,34.0,,
167450624.0,1,1.0,,,
167494304.0,5,5.0,4.0,4.0,4.0
167496288.0,1,1.0,1.0,,
167510384.0,1,,,,
167522416.0,2,2.0,,,
167529680.0,1,1.0,1.0,1.0,1.0
167545840.0,1,,,,
167570304.0,345,291.0,290.0,290.0,290.0
167571280.0,37,37.0,34.0,26.0,26.0
167571680.0,13,13.0,11.0,8.0,8.0
167572336.0,17,17.0,,,
167572624.0,1,,,,
167573424.0,19,3.0,1.0,1.0,1.0
167574208.0,49,28.0,25.0,22.0,2.0
167574816.0,21,21.0,5.0,4.0,
167574880.0,53,37.0,12.0,12.0,12.0
167575280.0,5,4.0,3.0,3.0,3.0
167575408.0,20,20.0,19.0,,
167575776.0,2,1.0,,,
167575824.0,10,8.0,5.0,5.0,5.0
167575904.0,4,3.0,,,
167576176.0,1,1.0,1.0,1.0,1.0
167576240.0,107,107.0,106.0,104.0,104.0
167577248.0,2,2.0,2.0,2.0,2.0
167577328.0,6,6.0,2.0,1.0,1.0
167579040.0,4,4.0,4.0,4.0,4.0
167579776.0,8,4.0,4.0,3.0,3.0
167579824.0,8,7.0,7.0,7.0,7.0
167579920.0,5,5.0,2.0,,
167580032.0,66,43.0,38.0,31.0,26.0
167580128.0,6,6.0,6.0,2.0,2.0
167580560.0,15,15.0,15.0,15.0,15.0
167580944.0,48,28.0,18.0,18.0,18.0
167581088.0,25,25.0,18.0,18.0,18.0
167581120.0,8,1.0,,,
167581264.0,1,1.0,1.0,1.0,1.0
167581920.0,3,1.0,,,
167582144.0,30,29.0,29.0,29.0,29.0
167582320.0,5,4.0,3.0,3.0,2.0
167582336.0,17,14.0,10.0,10.0,9.0
167582864.0,1,1.0,1.0,1.0,1.0
167583136.0,5,4.0,4.0,4.0,2.0
167583216.0,3,3.0,,,
167583696.0,128,80.0,70.0,66.0,62.0
167583760.0,51,37.0,27.0,18.0,18.0
