uid,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days
95210608.0,12,12.0,8.0,6.0,3.0,3.0
95883824.0,17,6.0,,,,
95896504.0,2,,,,,
96201720.0,1,1.0,1.0,1.0,1.0,1.0
96332544.0,14,3.0,1.0,,,
96502784.0,4,1.0,1.0,1.0,1.0,1.0
96635472.0,59,39.0,39.0,19.0,19.0,19.0
96847616.0,21,8.0,5.0,,,
97679392.0,1,,,,,
97865408.0,25,25.0,,,,
99689248.0,33,5.0,5.0,3.0,,
100474448.0,20,,,,,
101980432.0,3,,,,,
102234656.0,5,,,,,
102680816.0,12,6.0,6.0,6.0,6.0,4.0
104615848.0,3,3.0,3.0,3.0,3.0,3.0
105311752.0,6,,,,,
105498152.0,3,1.0,,,,
106544344.0,88,71.0,61.0,58.0,42.0,41.0
108787848.0,137,100.0,47.0,11.0,11.0,11.0
109276656.0,37,8.0,2.0,,,
110350416.0,60,60.0,60.0,51.0,51.0,49.0
110699208.0,9,1.0,,,,
112288352.0,21,15.0,15.0,9.0,9.0,8.0
112973568.0,1,1.0,,,,
113432400.0,35,1.0,1.0,1.0,1.0,1.0
114415912.0,34,34.0,34.0,,,
114583696.0,1,,,,,
114644048.0,25,21.0,21.0,17.0,7.0,7.0
114888768.0,8,8.0,8.0,8.0,,
115321400.0,1,,,,,
115833424.0,1,,,,,
116543184.0,4,1.0,1.0,,,
118337752.0,1,,,,,
118366104.0,1,,,,,
118931808.0,171,16.0,16.0,16.0,16.0,16.0
119342160.0,15,15.0,15.0,15.0,15.0,15.0
119930240.0,79,56.0,8.0,,,
120180992.0,2,,,,,
121526472.0,70,58.0,8.0,8.0,8.0,8.0
121667600.0,3,3.0,3.0,2.0,,
123188760.0,4,3.0,3.0,,,
124660648.0,3,,,,,
124993808.0,20,13.0,13.0,,,
125349888.0,119,87.0,68.0,30.0,27.0,27.0
125439600.0,2,2.0,2.0,2.0,,
125471824.0,1,,,,,
125737832.0,8,1.0,1.0,1.0,1.0,
126145584.0,3,,,,,
128029112.0,2,,,,,
128276808.0,68,66.0,60.0,60.0,55.0,55.0
128430064.0,1,,,,,
128430928.0,64,38.0,21.0,3.0,2.0,2.0
130552728.0,7,1.0,,,,
132184152.0,5,,,,,
133089264.0,48,,,,,
133268128.0,2,1.0,1.0,1.0,1.0,1.0
133771080.0,12,,,,,
133928864.0,21,16.0,13.0,13.0,8.0,8.0
134252448.0,45,11.0,,,,
135947952.0,90,79.0,27.0,21.0,18.0,17.0
136515520.0,14,,,,,
