uid,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days
133928864.0,16,13.0,13.0,8.0,8.0
134252448.0,11,,,,
135947952.0,79,27.0,21.0,18.0,17.0
137017600.0,26,26.0,26.0,26.0,26.0
137035792.0,46,31.0,31.0,31.0,31.0
137084144.0,41,41.0,41.0,38.0,38.0
138113120.0,7,1.0,1.0,1.0,1.0
138236752.0,31,30.0,27.0,19.0,15.0
139431840.0,7,7.0,6.0,4.0,
139851616.0,35,1.0,,,
141344848.0,27,25.0,7.0,6.0,5.0
145436112.0,1,1.0,,,
145455840.0,2,2.0,,,
146237888.0,1,1.0,1.0,1.0,1.0
146682496.0,24,23.0,21.0,20.0,20.0
147365504.0,54,52.0,31.0,27.0,26.0
147527520.0,11,11.0,6.0,6.0,6.0
148416832.0,32,27.0,8.0,6.0,5.0
148592320.0,53,51.0,45.0,45.0,45.0
148663792.0,2,2.0,,,
149056960.0,1,,,,
149109312.0,8,8.0,4.0,3.0,
151291888.0,9,8.0,7.0,7.0,
151486256.0,3,1.0,1.0,1.0,1.0
151840368.0,10,6.0,4.0,2.0,
152735536.0,1,,,,
153203040.0,33,33.0,,,
153348832.0,5,5.0,5.0,5.0,5.0
154383536.0,1,1.0,1.0,,
154623968.0,1,1.0,,,
154667696.0,3,3.0,3.0,2.0,2.0
154669600.0,72,65.0,42.0,19.0,19.0
155243872.0,101,10.0,,,
155284240.0,6,6.0,6.0,4.0,2.0
155595648.0,7,7.0,7.0,7.0,2.0
155697664.0,21,21.0,21.0,,
155762192.0,2,,,,
156751136.0,20,17.0,,,
156850336.0,7,7.0,5.0,5.0,5.0
156894672.0,4,3.0,2.0,2.0,2.0
157354176.0,14,14.0,14.0,14.0,14.0
157629760.0,2,2.0,,,
157823024.0,13,13.0,9.0,,
157997136.0,49,49.0,37.0,1.0,1.0
158228304.0,3,2.0,,,
159029760.0,4,1.0,,,
159164784.0,41,38.0,38.0,11.0,6.0
159215824.0,90,75.0,71.0,71.0,56.0
159270656.0,5,5.0,4.0,4.0,4.0
159462416.0,11,6.0,2.0,,
159541760.0,9,9.0,9.0,9.0,9.0
159547808.0,63,50.0,42.0,42.0,41.0
160065712.0,11,11.0,11.0,11.0,11.0
160131104.0,84,67.0,46.0,44.0,44.0
160139392.0,27,27.0,27.0,27.0,18.0
160390416.0,11,11.0,,,
160440720.0,42,37.0,34.0,34.0,33.0
161016912.0,25,24.0,24.0,24.0,24.0
161138064.0,8,3.0,3.0,2.0,2.0
161293344.0,7,7.0,,,
161596464.0,18,18.0,,,
161936288.0,18,16.0,16.0,16.0,16.0
162108000.0,4,4.0,4.0,4.0,4.0
162207344.0,6,6.0,3.0,,
162309424.0,10,10.0,3.0,2.0,
162354848.0,2,,,,
162360192.0,6,3.0,,,
162867168.0,4,3.0,,,
162965328.0,2,1.0,1.0,1.0,1.0
163048960.0,7,7.0,7.0,7.0,7.0
163104688.0,63,62.0,42.0,25.0,12.0
163113856.0,3,3.0,,,
163211424.0,2,2.0,2.0,,
163336192.0,9,,,,
163552928.0,18,15.0,13.0,5.0,3.0
163814528.0,1,1.0,1.0,1.0,1.0
163963552.0,3,1.0,1.0,,
164008784.0,14,1.0,1.0,,
164269856.0,25,25.0,11.0,10.0,10.0
164304880.0,18,16.0,16.0,16.0,16.0
164393680.0,4,4.0,4.0,4.0,4.0
164483952.0,32,17.0,17.0,13.0,13.0
164494064.0,1,1.0,,,
164639536.0,19,19.0,10.0,2.0,2.0
164658864.0,1,,,,
164855664.0,24,24.0,24.0,22.0,22.0
164946912.0,1,,,,
165018016.0,4,4.0,1.0,1.0,1.0
165025856.0,38,18.0,2.0,2.0,2.0
165225968.0,1,1.0,1.0,,
165331632.0,5,5.0,5.0,,
165361936.0,3,,,,
165463776.0,12,12.0,12.0,12.0,12.0
165471488.0,1,1.0,1.0,1.0,1.0
165636832.0,5,5.0,5.0,5.0,5.0
165664544.0,5,3.0,,,
165706320.0,52,52.0,52.0,52.0,52.0
165714736.0,98,20.0,18.0,18.0,18.0
165767712.0,5,5.0,5.0,5.0,1.0
165866944.0,10,5.0,1.0,1.0,1.0
165953248.0,4,4.0,4.0,4.0,4.0
165979776.0,19,19.0,19.0,6.0,6.0
166065680.0,3,3.0,3.0,2.0,2.0
166112320.0,4,,,,
166313568.0,12,12.0,12.0,12.0,12.0
166327168.0,11,10.0,4.0,4.0,4.0
166341648.0,9,9.0,3.0,2.0,2.0
166351680.0,4,4.0,,,
166365088.0,12,12.0,5.0,5.0,5.0
166378704.0,99,99.0,98.0,30.0,27.0
166456448.0,2,,,,
166471616.0,1,,,,
166472064.0,31,4.0,,,
166494464.0,88,86.0,39.0,36.0,36.0
166541072.0,8,8.0,8.0,8.0,8.0
166553696.0,33,31.0,16.0,14.0,14.0
166601152.0,75,72.0,72.0,71.0,71.0
166628640.0,6,6.0,6.0,6.0,6.0
166654368.0,1,,,,
166756496.0,2,2.0,2.0,2.0,
166782576.0,3,3.0,3.0,3.0,3.0
166787952.0,1,1.0,1.0,1.0,1.0
166798032.0,42,30.0,9.0,,
166853904.0,10,,,,
166858432.0,18,15.0,6.0,1.0,
166859328.0,3,,,,
166879056.0,18,10.0,1.0,1.0,1.0
166887120.0,12,12.0,5.0,,
166913072.0,9,9.0,8.0,5.0,5.0
166965440.0,42,39.0,25.0,7.0,7.0
166987104.0,6,6.0,6.0,,
167022912.0,18,18.0,15.0,10.0,10.0
167026560.0,12,11.0,9.0,,
167039904.0,3,,,,
167044992.0,17,11.0,10.0,10.0,9.0
167056800.0,6,6.0,4.0,,
167063952.0,12,12.0,12.0,11.0,11.0
167076576.0,39,37.0,10.0,7.0,6.0
167088624.0,2,,,,
167111808.0,30,26.0,,,
167171168.0,1,,,,
167197712.0,7,7.0,7.0,7.0,7.0
167214288.0,27,4.0,4.0,4.0,4.0
167249024.0,8,7.0,7.0,7.0,7.0
167262976.0,9,8.0,6.0,6.0,1.0
167271008.0,5,5.0,2.0,,
167274032.0,44,26.0,,,
167310576.0,4,4.0,,,
167329472.0,22,22.0,22.0,21.0,21.0
167343168.0,1,1.0,1.0,1.0,1.0
167365744.0,2,2.0,2.0,2.0,
167388672.0,2,,,,
167407392.0,7,1.0,1.0,,
167409168.0,1,,,,
167432480.0,1,,,,
167438160.0,2,2.0,2.0,2.0,
167450624.0,2,2.0,,,
167494304.0,29,29.0,7.0,7.0,7.0
167496288.0,14,14.0,12.0,11.0,11.0
167499424.0,4,,,,
167510384.0,22,18.0,15.0,15.0,15.0
167522416.0,2,2.0,,,
167535808.0,8,1.0,1.0,,
167544512.0,104,101.0,96.0,90.0,88.0
167544528.0,2,,,,
167570304.0,25,21.0,16.0,16.0,16.0
167570320.0,22,12.0,,,
167570496.0,14,5.0,1.0,,
167571248.0,17,,,,
167571280.0,139,101.0,90.0,44.0,44.0
167571680.0,4,3.0,1.0,1.0,1.0
167572336.0,1,,,,
167572624.0,21,7.0,7.0,7.0,7.0
167573424.0,19,9.0,4.0,4.0,4.0
167574208.0,78,42.0,34.0,18.0,13.0
167574816.0,64,64.0,41.0,33.0,27.0
167574912.0,8,8.0,,,
167575280.0,63,53.0,26.0,11.0,10.0
167575408.0,49,43.0,18.0,3.0,3.0
167575776.0,21,17.0,8.0,3.0,3.0
167575824.0,24,12.0,8.0,8.0,8.0
167575904.0,16,15.0,7.0,2.0,2.0
167576176.0,17,14.0,14.0,13.0,11.0
167576192.0,12,1.0,1.0,1.0,1.0
167576240.0,31,28.0,21.0,16.0,16.0
167577328.0,16,14.0,8.0,2.0,2.0
167577648.0,17,16.0,10.0,8.0,8.0
167578384.0,2,2.0,2.0,,
167579040.0,20,16.0,15.0,12.0,12.0
167579776.0,24,14.0,14.0,8.0,4.0
167579824.0,12,7.0,7.0,7.0,7.0
167579888.0,6,6.0,6.0,6.0,6.0
167579920.0,172,148.0,142.0,125.0,123.0
167580032.0,47,24.0,14.0,14.0,14.0
167580080.0,1,1.0,1.0,1.0,1.0
167580128.0,63,60.0,30.0,9.0,9.0
167580560.0,65,55.0,40.0,40.0,40.0
167580944.0,347,271.0,230.0,195.0,195.0
167581088.0,65,59.0,36.0,36.0,33.0
167581120.0,2,1.0,,,
167581264.0,8,8.0,8.0,7.0,7.0
167581632.0,3,3.0,1.0,,
167581920.0,29,20.0,18.0,16.0,15.0
167582144.0,63,62.0,59.0,59.0,59.0
167582320.0,42,31.0,27.0,20.0,20.0
167582336.0,47,44.0,33.0,29.0,29.0
167582864.0,10,10.0,8.0,5.0,5.0
167583136.0,67,64.0,52.0,45.0,17.0
167583216.0,1,1.0,,,
167583696.0,182,159.0,124.0,113.0,107.0
167583760.0,189,102.0,33.0,32.0,32.0
167583984.0,91,89.0,86.0,84.0,84.0
167584048.0,23,18.0,18.0,17.0,17.0
167584416.0,14,9.0,3.0,2.0,2.0
167584544.0,5,3.0,2.0,,
167584672.0,11,8.0,,,
167585312.0,4,2.0,2.0,,
167585568.0,104,98.0,61.0,21.0,21.0
167585584.0,16,16.0,14.0,12.0,12.0
167585616.0,2,2.0,1.0,1.0,1.0
167585760.0,144,93.0,46.0,46.0,45.0
167585840.0,22,11.0,7.0,6.0,6.0
167587920.0,119,95.0,67.0,58.0,55.0
167588112.0,27,9.0,9.0,9.0,9.0
167588960.0,2,,,,
167589024.0,1,,,,
167589776.0,55,55.0,46.0,39.0,39.0
167590176.0,8,8.0,8.0,8.0,8.0
167590384.0,45,39.0,31.0,27.0,24.0
167590400.0,12,3.0,1.0,1.0,1.0
167590576.0,43,22.0,12.0,12.0,12.0
167591152.0,1,1.0,,,
167591968.0,1,1.0,1.0,1.0,1.0
167592608.0,2,,,,
167593328.0,5,5.0,3.0,3.0,
167593792.0,27,25.0,23.0,10.0,10.0
167593904.0,42,18.0,15.0,15.0,15.0
167594032.0,1,1.0,1.0,1.0,1.0
167594496.0,13,7.0,7.0,7.0,7.0
167594960.0,1,,,,
167595296.0,63,63.0,2.0,2.0,2.0
167595616.0,14,14.0,14.0,14.0,14.0
167598576.0,1,,,,
167598768.0,14,12.0,6.0,6.0,6.0
167598784.0,7,1.0,1.0,1.0,1.0
167600064.0,12,11.0,11.0,11.0,11.0
167600384.0,26,22.0,19.0,10.0,10.0
167600416.0,24,8.0,,,
167600816.0,15,10.0,8.0,8.0,8.0
167601104.0,15,15.0,14.0,10.0,10.0
