uid,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days,Churn
168139792.0,1,1581.0,1.0,1581.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
168140064.0,1224,103.00653594771242,757.0,84.38705416116248,329.0,103.05775075987843,168.0,109.25,77.0,137.33766233766235,217.0,128.0,81.0,62.0,62.0,5.0,2.0,1.0,0.0,0.0,0.0
168140896.0,740,133.80135135135134,247.0,164.38866396761136,181.0,155.59668508287294,123.0,172.17073170731706,41.0,110.90243902439023,31.0,27.0,23.0,23.0,22.0,34.0,27.0,23.0,23.0,23.0,0.0
168141152.0,400,192.3275,212.0,209.04245283018867,79.0,191.36708860759487,33.0,193.8181818181818,13.0,197.61538461538458,11.0,6.0,6.0,6.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0
168141728.0,385,6.324675324675325,313.0,1.3035143769968052,105.0,0.0,47.0,0.0,28.0,0.0,4.0,4.0,4.0,4.0,3.0,20.0,16.0,13.0,10.0,9.0,0.0
168141952.0,685,168.9416058394161,291.0,182.79037800687286,76.0,166.6184210526316,37.0,190.54054054054055,16.0,156.875,76.0,27.0,15.0,9.0,9.0,22.0,16.0,8.0,7.0,7.0,0.0
168142144.0,150,185.28666666666663,56.0,294.19642857142856,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0
168142896.0,1126,137.3703374777975,691.0,152.73516642547034,523.0,144.11854684512429,411.0,142.09975669099757,26.0,188.61538461538458,104.0,30.0,19.0,14.0,6.0,16.0,8.0,8.0,8.0,4.0,0.0
168143088.0,13,89.69230769230771,13.0,89.69230769230771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168143504.0,487,130.85626283367554,172.0,134.3372093023256,53.0,101.41509433962266,16.0,118.375,9.0,38.111111111111114,159.0,55.0,25.0,22.0,22.0,17.0,17.0,11.0,10.0,10.0,0.0
168143664.0,278,189.3021582733813,152.0,198.1513157894737,86.0,194.52325581395348,38.0,208.8947368421053,3.0,212.66666666666663,130.0,94.0,72.0,45.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
168143792.0,1020,95.94705882352942,728.0,86.76510989010988,211.0,135.45023696682463,142.0,134.97183098591552,50.0,197.04,48.0,39.0,32.0,26.0,26.0,13.0,12.0,10.0,10.0,10.0,0.0
168143840.0,768,136.16875564583333,559.0,130.82399625402505,193.0,111.50750376165806,188.0,108.63270332978728,33.0,76.84691593939394,12.0,11.0,8.0,7.0,7.0,5.0,4.0,3.0,3.0,3.0,0.0
168143952.0,278,68.37050359712232,19.0,99.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,31.0,31.0,63.0,24.0,24.0,24.0,24.0,0.0
168143984.0,368,130.0473674728261,248.0,117.23560979838707,199.0,96.479553919598,84.0,112.03571428571428,21.0,205.6190476190476,62.0,59.0,59.0,57.0,57.0,10.0,10.0,10.0,10.0,10.0,0.0
168144176.0,16,24.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
168144256.0,61,69.93442622950819,35.0,33.51428571428571,20.0,20.15,0.0,0.0,0.0,0.0,26.0,17.0,15.0,15.0,15.0,34.0,32.0,4.0,4.0,4.0,0.0
168144272.0,280,132.2892857142857,158.0,103.72151898734177,112.0,71.90178571428571,103.0,61.932038834951456,65.0,13.584615384615386,21.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0
168144544.0,193,152.94300518134716,81.0,171.96296296296296,1.0,210.0,0.0,0.0,0.0,0.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168144768.0,115,205.17391304347825,102.0,207.40196078431373,60.0,173.1,56.0,164.92857142857142,9.0,241.88888888888889,21.0,11.0,11.0,11.0,10.0,5.0,2.0,2.0,2.0,2.0,0.0
168145120.0,1326,174.72699849170436,602.0,170.59634551495017,277.0,171.30685920577616,146.0,170.52739726027397,64.0,165.875,91.0,67.0,54.0,36.0,36.0,72.0,0.0,0.0,0.0,0.0,0.0
168145168.0,244,205.95491803278688,182.0,198.8956043956044,12.0,109.83333333333331,0.0,0.0,0.0,0.0,10.0,4.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0
168146448.0,219,123.87671232876713,155.0,128.6258064516129,93.0,126.81720430107526,53.0,151.0943396226415,0.0,0.0,60.0,54.0,37.0,17.0,12.0,35.0,34.0,18.0,14.0,7.0,0.0
168146480.0,355,161.81971830985916,191.0,179.0994764397906,113.0,173.3628318584071,64.0,193.296875,0.0,0.0,58.0,14.0,4.0,0.0,0.0,27.0,8.0,5.0,1.0,1.0,0.0
168146608.0,295,131.81680227118642,187.0,91.14415331550802,158.0,79.30352322784809,155.0,76.74165593548386,31.0,6.7082796774193545,23.0,21.0,20.0,18.0,16.0,3.0,3.0,2.0,2.0,1.0,0.0
168146752.0,9,115.66666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
168146768.0,4,115.75,4.0,115.75,3.0,126.66666666666669,0.0,0.0,0.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168147232.0,1375,76.0109090909091,1115.0,50.786547085201796,807.0,23.736059479553905,121.0,46.239669421487605,18.0,151.55555555555554,35.0,19.0,10.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
168147472.0,369,322.609756097561,247.0,337.80971659919027,125.0,351.792,23.0,553.9565217391304,19.0,299.0526315789473,69.0,61.0,41.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
168147536.0,350,45.30857142857143,132.0,50.88636363636363,16.0,100.625,5.0,136.2,0.0,0.0,14.0,14.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
168147616.0,44,32.56818181818182,22.0,11.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
168148320.0,547,246.24497257769653,309.0,223.10355987055016,33.0,276.3939393939394,5.0,256.0,3.0,270.3333333333333,30.0,18.0,10.0,9.0,9.0,7.0,7.0,2.0,2.0,2.0,0.0
168148704.0,181,207.32596685082873,128.0,221.0234375,78.0,225.71794871794876,32.0,206.125,8.0,252.25,11.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
168149152.0,213,174.05164319248826,110.0,216.95454545454547,79.0,216.1645569620253,44.0,250.6136363636364,40.0,254.75,25.0,5.0,5.0,2.0,2.0,37.0,10.0,10.0,7.0,7.0,0.0
168149520.0,202,896.0445544554456,179.0,769.6424581005588,153.0,580.1176470588234,123.0,456.479674796748,6.0,2741.0,18.0,18.0,12.0,12.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0
