uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days,last_search,last_download,Churn,last_play,device_ar,device_both,device_ip,precent
168563040,395.0,176.5848101265823,68.0,167.35294117647058,6.0,242.0,6.0,242.0,6.0,242.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,90.0,1,2,0,1,0,0.6938395885764307
168563600,1019.0,194.23846908734046,432.0,219.84490740740745,203.0,225.48275862068962,40.0,203.3,6.0,142.83333333333334,3.0,103.0,83.0,57.0,22.0,12.0,10.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,19.0,0,1,1,0,0,0.6481824731464501
168563680,267.0,158.44569288389513,44.0,122.3409090909091,44.0,122.3409090909091,9.0,226.22222222222226,9.0,226.22222222222226,0.0,0.0,21.0,20.0,20.0,13.0,13.0,13.0,33.0,3.0,3.0,3.0,3.0,3.0,13.0,30.0,0,2,1,0,0,0.61887416249744
168563904,331.0,164.80664652567975,130.0,178.7,118.0,186.11864406779662,23.0,386.86956521739125,9.0,675.3333333333334,0.0,0.0,44.0,40.0,39.0,22.0,12.0,11.0,9.0,9.0,9.0,7.0,6.0,6.0,2.0,7.0,0,2,0,1,0,0.6457803085009411
168563984,769.0,177.79193758127442,364.0,183.0576923076923,109.0,185.24770642201835,3.0,257.3333333333333,3.0,257.3333333333333,0.0,0.0,75.0,46.0,22.0,10.0,10.0,9.0,25.0,9.0,4.0,2.0,2.0,1.0,3.0,3.0,0,3,0,1,0,0.7262480213324268
168564320,1404.0,165.08689458689457,158.0,176.40506329113927,82.0,175.48780487804882,58.0,137.93103448275863,3.0,188.33333333333331,0.0,0.0,112.0,4.0,2.0,1.0,1.0,1.0,74.0,14.0,14.0,9.0,9.0,9.0,13.0,13.0,0,3,0,1,0,0.6350487556954706
168564752,461.0,232.66377440347068,51.0,260.37254901960785,18.0,262.72222222222223,16.0,264.0,0.0,0.0,0.0,0.0,56.0,8.0,6.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,13.0,27.0,0,7,1,0,0,0.8774665401354756
168565696,421.0,181.8913689311164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,1,22,0,1,0,0.627864834999287
168565888,250.0,154.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,1,23,1,0,0,0.6253238761497604
168566608,109.0,207.41284403669724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,1,22,1,0,0,0.8696388044774397
168566640,383.0,189.08877284595297,110.0,205.6,30.0,253.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,1,10,1,0,0,0.7370343985345004
168566704,201.0,222.2935323383085,96.0,236.60416666666663,39.0,235.28205128205127,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,1,10,1,0,0,0.8609387644995955
168566736,602.0,176.3205980066445,137.0,224.5182481751825,122.0,224.0245901639344,41.0,215.17073170731706,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,1,7,1,0,0,0.6981937537821981
168566752,711.0,167.4205344585091,230.0,148.9,159.0,110.33333333333331,25.0,185.84,7.0,135.71428571428572,7.0,135.71428571428572,13.0,3.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,1,1,0,1,0,0.671775886588862
168567056,422.0,161.15402843601896,53.0,5.4905660377358485,28.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,7.0,6.0,6.0,30.0,7.0,1,12,1,0,0,0.5840719365144801
168567152,176.0,189.52272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,1,23,1,0,0,0.7680935823335713
