uid,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,Churn,device
168883952.0,122,172.31147540983608,53.0,144.20754716981133,28.0,123.75,17.0,193.8235294117647,,,1.0,both
168884288.0,322,110.61801242236025,96.0,133.83333333333334,66.0,109.12121212121212,66.0,109.12121212121212,12.0,216.33333333333334,0.0,ar
168884720.0,451,56283.31929046563,381.0,66583.96850393701,275.0,59200.60727272727,173.0,38035.82080924856,29.0,226873.41379310345,0.0,ar
168885040.0,124,157.4516129032258,115.0,154.19130434782608,33.0,225.36363636363637,23.0,224.8695652173913,1.0,4.0,0.0,both
168885216.0,625,118.808,463.0,121.23326133909288,290.0,94.45517241379311,129.0,101.5813953488372,60.0,67.28333333333333,0.0,both
168885568.0,364,178.1035420729121,288.0,181.69082053659724,189.0,171.5500334102646,55.0,129.05375117345457,4.0,177.25,0.0,both
168887056.0,257,126.06614785992218,154.0,123.68831168831169,54.0,64.96296296296296,1.0,191.0,,,0.0,both
168887120.0,689,160.45137880986937,450.0,172.89777777777778,181.0,189.61878453038673,128.0,202.8046875,45.0,202.3111111111111,0.0,both
168888144.0,776,116.10198663917528,355.0,163.66518769577465,149.0,164.41034652348992,49.0,151.0232986122449,,,0.0,both
168888160.0,198,77.03535353535354,175.0,73.05714285714286,159.0,67.0,110.0,64.38181818181818,29.0,124.75862068965517,0.0,both
168888240.0,10,378.0,1.0,151.0,1.0,151.0,,,,,0.0,both
168888736.0,56,127.44642857142857,40.0,141.25,7.0,147.14285714285714,4.0,70.25,,,0.0,ar
168888976.0,346,78.48843930635839,93.0,196.89247311827958,60.0,202.46666666666667,22.0,220.27272727272728,22.0,220.27272727272728,0.0,ar
168889456.0,958,246.63883089770354,508.0,244.58858267716536,,,,,,,0.0,both
168889648.0,353,138.05949008498584,313.0,134.3003194888179,202.0,127.41584158415841,105.0,136.13333333333333,68.0,93.91176470588235,0.0,ar
168891520.0,556,297.85700286892086,399.0,320.3888958897244,156.0,197.32640724358973,30.0,177.52065966666666,7.0,210.3742557142857,0.0,both
168892160.0,820,152.07560975609755,499.0,162.63527054108218,184.0,145.9891304347826,98.0,141.19387755102042,29.0,128.06896551724137,0.0,both
168892384.0,554,846.731046931408,464.0,984.3469827586207,153.0,105.49019607843137,9.0,295.77777777777777,9.0,295.77777777777777,0.0,both
168892624.0,463,181.06695464362852,195.0,199.22564102564104,90.0,219.85555555555555,49.0,249.3877551020408,,,0.0,both
168892656.0,477,134.2180293501048,315.0,134.1936507936508,220.0,139.6909090909091,127.0,143.4251968503937,41.0,118.02439024390245,0.0,both
168892752.0,2,93.5,1.0,0.0,,,,,,,1.0,both
168892880.0,39,199.7948717948718,10.0,204.0,10.0,204.0,,,,,0.0,ar
168892896.0,48,154.20833333333334,25.0,184.52,14.0,206.21428571428572,12.0,213.33333333333334,,,0.0,ar
168892992.0,451,128.0421286031042,247.0,167.60728744939271,100.0,210.76,5.0,262.0,,,0.0,both
168893584.0,521,199.67562380038387,205.0,126.20975609756097,137.0,82.17518248175182,,,,,0.0,both
168893648.0,199,148.8391959798995,117.0,144.28205128205127,91.0,125.3956043956044,26.0,171.34615384615384,8.0,189.375,0.0,both
168893664.0,37,50.972972972972975,14.0,102.92857142857143,3.0,216.66666666666666,3.0,216.66666666666666,1.0,102.0,1.0,ar
168894672.0,393,89.80407124681933,256.0,82.984375,108.0,113.8425925925926,52.0,44.46153846153846,49.0,39.38775510204081,0.0,ar
168895296.0,1698,124.05535924617196,1232.0,107.3603896103896,277.0,149.956678700361,117.0,145.42735042735043,52.0,96.78846153846153,0.0,ar
168895504.0,1205,204.6979253112033,969.0,214.95562435500517,303.0,208.86798679867988,95.0,243.56842105263158,1.0,147.0,0.0,both
168895696.0,212,2964.0471698113206,207.0,3032.990338164251,118.0,5215.813559322034,58.0,10492.758620689656,57.0,10673.350877192983,0.0,ar
168895872.0,1269,66.59574468085107,1188.0,61.31144781144781,247.0,34.48987854251012,221.0,36.05882352941177,27.0,30.703703703703702,0.0,both
168896272.0,459,118.7276688453159,205.0,176.9268292682927,159.0,173.11320754716982,121.0,155.3801652892562,33.0,207.5151515151515,0.0,ar
168897168.0,642,138.59034267912773,457.0,98.78118161925602,274.0,111.16423357664233,64.0,140.9375,31.0,30.870967741935484,0.0,both
168897472.0,1267,193.0481452249408,828.0,195.15700483091788,65.0,171.95384615384614,32.0,246.21875,32.0,246.21875,0.0,both
168897568.0,12,137.16666666666666,11.0,133.45454545454547,5.0,55.4,1.0,122.0,,,0.0,both
168897696.0,48,128.3125,1.0,216.0,,,,,,,0.0,ar
168897856.0,479,183.00417536534448,205.0,170.00487804878048,50.0,143.54,2.0,152.0,1.0,130.0,0.0,both
168898720.0,931,136.72701603679914,512.0,150.34375,340.0,157.46470588235294,239.0,143.96652719665272,223.0,138.63677130044843,0.0,both
168899184.0,15,212.06666666666666,14.0,212.64285714285714,5.0,258.4,2.0,276.5,,,0.0,both
168899264.0,48,144.20833333333334,46.0,149.54347826086956,,,,,,,1.0,ar
168899296.0,525,198.6304761904762,336.0,195.9077380952381,71.0,203.92957746478874,45.0,208.86666666666667,11.0,163.0909090909091,0.0,ar
168899808.0,144,93.88194444444444,52.0,51.26923076923077,14.0,56.642857142857146,8.0,41.5,3.0,83.66666666666667,0.0,both
168900016.0,118,133.92372881355934,88.0,127.44318181818181,76.0,139.43421052631578,3.0,227.0,,,1.0,both
168900112.0,127,62.09448818897638,66.0,48.303030303030305,33.0,61.54545454545455,,,,,0.0,ar
168900512.0,311,178.62127470739551,178.0,159.793350752809,52.0,298.51902807692306,32.0,366.1875,3.0,105.0,0.0,both
168900912.0,138,60.05797101449275,104.0,53.06730769230769,41.0,69.36585365853658,19.0,52.78947368421053,,,0.0,ar
168901728.0,129,152.2325581395349,125.0,155.096,25.0,236.24,23.0,234.95652173913044,3.0,254.33333333333334,0.0,ar
168901776.0,82,65.8170731707317,64.0,61.765625,13.0,95.61538461538461,4.0,164.25,,,0.0,ar
168901856.0,180,209.92222222222222,124.0,216.36290322580646,21.0,145.52380952380952,8.0,160.75,,,0.0,ar
